instance,goal4_terminal,v3_terminal,resolved,provider_requests,cost_cny,candidate_status,evaluator_status,failure_classification,transition
aws-cloudformation__cfn-lint-3749,unresolved,unresolved,False,32,8.361216,exported_nonempty,completed,,unchanged
aws-cloudformation__cfn-lint-3764,unresolved,unresolved,False,14,1.531884,exported_nonempty,completed,,unchanged
beetbox__beets-5457,unresolved,request_ceiling_reached,False,40,11.305716,exported_nonempty,completed,request_ceiling_reached,unchanged
beetbox__beets-5495,resolved,resolved,True,12,1.03518,exported_nonempty,completed,,unchanged
deepset-ai__haystack-8489,unresolved,resolved,True,26,7.538508,exported_nonempty,completed,,unresolved→resolved
beancount__beancount-931,resolved,resolved,True,21,2.53146,exported_nonempty,completed,,unchanged
beeware__briefcase-2075,resolved,resolved,True,14,1.100784,exported_nonempty,completed,,unchanged
beeware__briefcase-2085,resolved,resolved,True,9,1.79412,exported_nonempty,completed,,unchanged
bridgecrewio__checkov-6893,unresolved,infrastructure_error,False,10,2.705268,not_exported,not_run,openai.APITimeoutError/httpx.ConnectTimeout/httpcore.ConnectTimeout/builtins.TimeoutError/asyncio.exceptions.CancelledError/ssl.SSLWantReadError,unresolved→infra
bridgecrewio__checkov-6895,unresolved,unresolved,False,11,1.116732,exported_nonempty,completed,,unchanged
conan-io__conan-17092,unresolved,unresolved,False,15,5.619372,exported_nonempty,completed,,unchanged
conan-io__conan-17102,unresolved,request_ceiling_reached,False,40,14.83452,exported_nonempty,completed,request_ceiling_reached,unchanged
cyclotruc__gitingest-115,unresolved,unresolved,False,14,1.845036,exported_nonempty,completed,,unchanged
cyclotruc__gitingest-134,unresolved,unresolved,False,21,4.799172,exported_nonempty,completed,,unchanged
deepset-ai__haystack-8525,unresolved,unresolved,False,15,2.968704,exported_nonempty,completed,,unchanged
delgan__loguru-1297,unresolved,unresolved,False,7,0.640572,exported_nonempty,completed,,unchanged
delgan__loguru-1306,unresolved,unresolved,False,10,1.298352,exported_nonempty,completed,,unchanged
dynaconf__dynaconf-1225,unresolved,request_ceiling_reached,False,40,32.16084,exported_nonempty,completed,request_ceiling_reached,unchanged
dynaconf__dynaconf-1249,unresolved,unresolved,False,38,16.329588,exported_nonempty,completed,,unchanged
instructlab__instructlab-2540,unresolved,request_ceiling_reached,False,40,11.584824,exported_nonempty,completed,request_ceiling_reached,unchanged
