instance,target_symbols,callers,implementations,tests_and_fixtures,defaults_and_config,history,hypotheses,contract_matrix_present,differential_validation_present,candidate_snapshots,candidate_levels,impact_recommended_tests,venv_or_site_packages_tests
aws-cloudformation__cfn-lint-3749,0,0,0,0,0,0,0,False,False,5,C1,12,12
aws-cloudformation__cfn-lint-3764,0,0,0,0,0,0,0,False,False,1,C1,12,12
beetbox__beets-5457,0,0,0,0,0,0,0,False,False,2,C1,12,6
beetbox__beets-5495,0,0,0,0,0,0,0,False,False,2,C1,12,6
deepset-ai__haystack-8489,0,0,0,0,0,0,0,False,False,10,C1,12,12
beancount__beancount-931,0,0,0,0,0,0,0,False,False,1,C1,0,0
beeware__briefcase-2075,0,0,0,0,0,0,0,False,False,4,C1,12,0
beeware__briefcase-2085,0,0,0,0,0,0,0,False,False,5,C1,12,0
bridgecrewio__checkov-6893,0,0,0,0,0,0,0,False,False,0,,0,0
bridgecrewio__checkov-6895,0,0,0,0,0,0,0,False,False,2,C1,12,10
conan-io__conan-17092,0,0,0,0,0,0,0,False,False,7,C1,4,0
conan-io__conan-17102,0,0,0,0,0,0,0,False,False,8,C1,12,1
cyclotruc__gitingest-115,0,0,0,0,0,0,0,False,False,2,C1,1,0
cyclotruc__gitingest-134,0,0,0,0,0,0,0,False,False,3,C1,3,0
deepset-ai__haystack-8525,0,0,0,0,0,0,0,False,False,3,C1,12,12
delgan__loguru-1297,0,0,0,0,0,0,0,False,False,1,C1,10,2
delgan__loguru-1306,0,0,0,0,0,0,0,False,False,2,C1,12,11
dynaconf__dynaconf-1225,0,0,0,0,0,0,0,False,False,8,C1,12,8
dynaconf__dynaconf-1249,0,0,0,0,0,0,0,False,False,7,C1,12,8
instructlab__instructlab-2540,0,0,0,0,0,0,0,False,False,11,C1,12,12
