"request_index","input_tokens","output_tokens","reasoning_tokens","actual_cny","settled_at","reservation_id","trial_id"
1,5589,133,64,"0.071856","2026-07-22T15:32:28.747648Z","934fc010393c4ceb95ac4b319d5f9ca7","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
2,5924,178,29,"0.077496","2026-07-22T15:32:34.821772Z","10bfb83aca764bc288e522b47e00807b","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
3,6831,263,184,"0.091440","2026-07-22T15:32:41.809530Z","797fed2601424913a8a7313be9491da6","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
4,6982,87,13,"0.086916","2026-07-22T15:32:45.227671Z","d9e65a0bc5a24d258c3234e2a8716bff","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
5,7496,312,171,"0.101184","2026-07-22T15:32:54.711056Z","a89a820133c1412da1ceec434eec77e5","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
6,7746,547,402,"0.112644","2026-07-22T15:33:07.202477Z","f92e94301d424575836f755d67e1b9cd","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
7,8174,473,217,"0.115116","2026-07-22T15:33:17.979182Z","64e20dfe5ddf4f198ddf95205c38ee4a","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
8,8533,114,28,"0.106500","2026-07-22T15:33:22.813702Z","24aa911397734b77860175ccd70b5bdc","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
9,8764,113,37,"0.109236","2026-07-22T15:33:26.962406Z","de9c6cfa1f2849fa91ea74512895a0d0","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
10,9235,134,17,"0.115644","2026-07-22T15:33:32.477618Z","ad5582a26d5641a7b1349f3a345cca6a","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
11,9842,85,12,"0.121164","2026-07-22T15:33:37.678889Z","9029485a74364763afb39e5016a7ba24","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
12,10000,152,80,"0.125472","2026-07-22T15:33:42.631185Z","13f4c3a43e514fc1aa8fe9e78a49a53b","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
13,10157,265,29,"0.131424","2026-07-22T15:33:50.125627Z","117aa8e1e0da4cb7b04b4238ff85ddce","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
14,10584,550,70,"0.146808","2026-07-22T15:34:03.022510Z","39c2c2e907724075ab756371b606eae2","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
15,11163,295,34,"0.144576","2026-07-22T15:34:10.972037Z","cedd206d36d24e908615bfa991f49258","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
16,11507,545,65,"0.157704","2026-07-22T15:34:22.854796Z","ee7ff20ac1b44de08df6cabe26cb5fc1","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
17,12086,236,150,"0.153528","2026-07-22T15:34:29.386696Z","482d83c8737a476cb41bfa548aa79a46","swe/stage-d/stage-d-canary-20260722-29933533516/canary/1/beetbox__beets-5495"
